row,Assembly,Length
707,Ref_Scaff,2425
708,Ref_Scaff,2425
709,Ref_Scaff,2421
710,Ref_Scaff,2421
711,Ref_Scaff,2420
712,Ref_Scaff,2419
713,Ref_Scaff,2417
714,Ref_Scaff,2413
715,Ref_Scaff,2412
716,Ref_Scaff,2400
717,Ref_Scaff,2394
718,Ref_Scaff,2390
719,Ref_Scaff,2390
720,Ref_Scaff,2389
721,Ref_Scaff,2385
722,Ref_Scaff,2385
723,Ref_Scaff,2385
724,Ref_Scaff,2384
725,Ref_Scaff,2383
726,Ref_Scaff,2383
727,Ref_Scaff,2382
728,Ref_Scaff,2381
729,Ref_Scaff,2381
730,Ref_Scaff,2379
731,Ref_Scaff,2379
732,Ref_Scaff,2378
733,Ref_Scaff,2375
734,Ref_Scaff,2372
735,Ref_Scaff,2369
736,Ref_Scaff,2368
737,Ref_Scaff,2366
738,Ref_Scaff,2363
739,Ref_Scaff,2357
740,Ref_Scaff,2355
741,Ref_Scaff,2354
742,Ref_Scaff,2353
743,Ref_Scaff,2352
744,Ref_Scaff,2344
745,Ref_Scaff,2342
746,Ref_Scaff,2342
747,Ref_Scaff,2335
748,Ref_Scaff,2330
749,Ref_Scaff,2328
750,Ref_Scaff,2328
751,Ref_Scaff,2326
752,Ref_Scaff,2325
753,Ref_Scaff,2322
754,Ref_Scaff,2318
755,Ref_Scaff,2317
756,Ref_Scaff,2308
757,Ref_Scaff,2307
758,Ref_Scaff,2304
759,Ref_Scaff,2303
760,Ref_Scaff,2295
761,Ref_Scaff,2293
762,Ref_Scaff,2291
763,Ref_Scaff,2289
764,Ref_Scaff,2287
765,Ref_Scaff,2286
766,Ref_Scaff,2284
767,Ref_Scaff,2283
768,Ref_Scaff,2282
769,Ref_Scaff,2273
770,Ref_Scaff,2270
771,Ref_Scaff,2269
772,Ref_Scaff,2266
773,Ref_Scaff,2259
774,Ref_Scaff,2259
775,Ref_Scaff,2253
776,Ref_Scaff,2248
777,Ref_Scaff,2247
778,Ref_Scaff,2237
779,Ref_Scaff,2234
780,Ref_Scaff,2232
781,Ref_Scaff,2232
782,Ref_Scaff,2228
783,Ref_Scaff,2227
784,Ref_Scaff,2223
785,Ref_Scaff,2221
786,Ref_Scaff,2220
787,Ref_Scaff,2217
788,Ref_Scaff,2216
789,Ref_Scaff,2210
790,Ref_Scaff,2209
791,Ref_Scaff,2207
792,Ref_Scaff,2206
793,Ref_Scaff,2205
794,Ref_Scaff,2201
795,Ref_Scaff,2200
796,Ref_Scaff,2198
797,Ref_Scaff,2198
798,Ref_Scaff,2196
799,Ref_Scaff,2192
800,Ref_Scaff,2190
801,Ref_Scaff,2189
802,Ref_Scaff,2189
803,Ref_Scaff,2187
804,Ref_Scaff,2185
805,Ref_Scaff,2177
806,Ref_Scaff,2176
807,Ref_Scaff,2173
808,Ref_Scaff,2166
809,Ref_Scaff,2161
810,Ref_Scaff,2161
811,Ref_Scaff,2157
812,Ref_Scaff,2147
813,Ref_Scaff,2139
814,Ref_Scaff,2132
815,Ref_Scaff,2129
816,Ref_Scaff,2126
817,Ref_Scaff,2124
818,Ref_Scaff,2124
819,Ref_Scaff,2119
820,Ref_Scaff,2117
821,Ref_Scaff,2114
822,Ref_Scaff,2113
823,Ref_Scaff,2113
824,Ref_Scaff,2113
825,Ref_Scaff,2112
826,Ref_Scaff,2109
827,Ref_Scaff,2108
828,Ref_Scaff,2105
829,Ref_Scaff,2105
830,Ref_Scaff,2103
831,Ref_Scaff,2102
832,Ref_Scaff,2096
833,Ref_Scaff,2096
834,Ref_Scaff,2094
835,Ref_Scaff,2094
836,Ref_Scaff,2092
837,Ref_Scaff,2090
838,Ref_Scaff,2089
839,Ref_Scaff,2088
840,Ref_Scaff,2087
